Running on host gpu05.bc4.acrc.priv
Time is Tue Dec 8 19:09:45 GMT 2020
Directory is /mnt/storage/home/tg17437/adl/adl_cw
Slurm job ID is 4072753
This job runs on the following machines:
gpu05
GPU number: 0
Writing logs to logs/CNN_bs=128_lr=0.03_run_8
epoch: [8], step: [23/157], batch loss: 0.13859, batch accuracy: 0.00, data load time: 0.00155, step time: 0.07859
epoch: [8], step: [33/157], batch loss: 0.13654, batch accuracy: 0.00, data load time: 0.00160, step time: 0.08235
epoch: [8], step: [43/157], batch loss: 0.13494, batch accuracy: 0.00, data load time: 0.00160, step time: 0.18827
epoch: [8], step: [53/157], batch loss: 0.13610, batch accuracy: 0.00, data load time: 0.00156, step time: 0.07644
epoch: [8], step: [63/157], batch loss: 0.13480, batch accuracy: 0.00, data load time: 0.00159, step time: 0.07639
epoch: [8], step: [73/157], batch loss: 0.13758, batch accuracy: 0.00, data load time: 0.00162, step time: 0.08386
epoch: [8], step: [83/157], batch loss: 0.13503, batch accuracy: 0.00, data load time: 0.00185, step time: 0.07832
epoch: [8], step: [93/157], batch loss: 0.13791, batch accuracy: 0.00, data load time: 0.01429, step time: 0.08593
epoch: [8], step: [103/157], batch loss: 0.13399, batch accuracy: 0.00, data load time: 0.00142, step time: 0.07592
epoch: [8], step: [113/157], batch loss: 0.13723, batch accuracy: 0.00, data load time: 0.00139, step time: 0.07608
epoch: [8], step: [123/157], batch loss: 0.13728, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07607
epoch: [8], step: [133/157], batch loss: 0.13770, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07608
epoch: [8], step: [143/157], batch loss: 0.13651, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07594
epoch: [8], step: [153/157], batch loss: 0.13383, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07610
epoch: [9], step: [6/157], batch loss: 0.14131, batch accuracy: 0.00, data load time: 0.00164, step time: 0.08405
epoch: [9], step: [16/157], batch loss: 0.13813, batch accuracy: 0.00, data load time: 0.00158, step time: 0.07636
epoch: [9], step: [26/157], batch loss: 0.13964, batch accuracy: 0.00, data load time: 0.00159, step time: 0.07850
epoch: [9], step: [36/157], batch loss: 0.13495, batch accuracy: 0.00, data load time: 0.00162, step time: 0.08036
epoch: [9], step: [46/157], batch loss: 0.13518, batch accuracy: 0.00, data load time: 0.00157, step time: 0.07808
epoch: [9], step: [56/157], batch loss: 0.14045, batch accuracy: 0.00, data load time: 0.00159, step time: 0.08072
epoch: [9], step: [66/157], batch loss: 0.13878, batch accuracy: 0.00, data load time: 0.00158, step time: 0.07788
epoch: [9], step: [76/157], batch loss: 0.13469, batch accuracy: 0.00, data load time: 0.01436, step time: 0.08042
epoch: [9], step: [86/157], batch loss: 0.13677, batch accuracy: 0.00, data load time: 0.00157, step time: 0.07776
epoch: [9], step: [96/157], batch loss: 0.13657, batch accuracy: 0.00, data load time: 0.00158, step time: 0.07630
epoch: [9], step: [106/157], batch loss: 0.13449, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07622
epoch: [9], step: [116/157], batch loss: 0.13644, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07612
epoch: [9], step: [126/157], batch loss: 0.13741, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07612
epoch: [9], step: [136/157], batch loss: 0.13842, batch accuracy: 0.00, data load time: 0.00137, step time: 0.07594
epoch: [9], step: [146/157], batch loss: 0.14033, batch accuracy: 0.00, data load time: 0.00137, step time: 0.07599
epoch: [9], step: [156/157], batch loss: 0.13848, batch accuracy: 0.00, data load time: 0.00039, step time: 0.03314
validation loss: 0.01909, accuracy: 0.00
epoch: [10], step: [9/157], batch loss: 0.13590, batch accuracy: 0.00, data load time: 0.00167, step time: 0.08502
epoch: [10], step: [19/157], batch loss: 0.13782, batch accuracy: 0.00, data load time: 0.00163, step time: 0.07716
epoch: [10], step: [29/157], batch loss: 0.13521, batch accuracy: 0.00, data load time: 0.00157, step time: 0.08471
epoch: [10], step: [39/157], batch loss: 0.14152, batch accuracy: 0.00, data load time: 0.00160, step time: 0.07639
epoch: [10], step: [49/157], batch loss: 0.13958, batch accuracy: 0.00, data load time: 0.00161, step time: 0.07617
epoch: [10], step: [59/157], batch loss: 0.13432, batch accuracy: 0.00, data load time: 0.00156, step time: 0.07634
epoch: [10], step: [69/157], batch loss: 0.13981, batch accuracy: 0.00, data load time: 0.00162, step time: 0.07653
epoch: [10], step: [79/157], batch loss: 0.13735, batch accuracy: 0.00, data load time: 0.00166, step time: 0.07626
epoch: [10], step: [89/157], batch loss: 0.13821, batch accuracy: 0.00, data load time: 0.00159, step time: 0.07645
epoch: [10], step: [99/157], batch loss: 0.13857, batch accuracy: 0.00, data load time: 0.00161, step time: 0.07821
epoch: [10], step: [109/157], batch loss: 0.14049, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07607
epoch: [10], step: [119/157], batch loss: 0.13719, batch accuracy: 0.00, data load time: 0.00143, step time: 0.07605
epoch: [10], step: [129/157], batch loss: 0.13926, batch accuracy: 0.00, data load time: 0.00142, step time: 0.07603
epoch: [10], step: [139/157], batch loss: 0.13694, batch accuracy: 0.00, data load time: 0.00141, step time: 0.07609
epoch: [10], step: [149/157], batch loss: 0.13552, batch accuracy: 0.00, data load time: 0.00141, step time: 0.07599
epoch: [11], step: [2/157], batch loss: 0.13316, batch accuracy: 0.00, data load time: 0.00170, step time: 0.08274
epoch: [11], step: [12/157], batch loss: 0.13664, batch accuracy: 0.00, data load time: 0.00156, step time: 0.07700
epoch: [11], step: [22/157], batch loss: 0.13555, batch accuracy: 0.00, data load time: 0.00155, step time: 0.07884
epoch: [11], step: [32/157], batch loss: 0.14047, batch accuracy: 0.00, data load time: 0.00159, step time: 0.07840
epoch: [11], step: [42/157], batch loss: 0.13735, batch accuracy: 0.00, data load time: 0.00160, step time: 0.08206
epoch: [11], step: [52/157], batch loss: 0.13849, batch accuracy: 0.00, data load time: 0.01292, step time: 0.08869
epoch: [11], step: [62/157], batch loss: 0.14179, batch accuracy: 0.00, data load time: 0.00159, step time: 0.07721
epoch: [11], step: [72/157], batch loss: 0.13827, batch accuracy: 0.00, data load time: 0.00156, step time: 0.07826
epoch: [11], step: [82/157], batch loss: 0.14054, batch accuracy: 0.00, data load time: 0.01461, step time: 0.08046
epoch: [11], step: [92/157], batch loss: 0.14148, batch accuracy: 0.00, data load time: 0.00155, step time: 0.07621
epoch: [11], step: [102/157], batch loss: 0.13278, batch accuracy: 0.00, data load time: 0.00147, step time: 0.07612
epoch: [11], step: [112/157], batch loss: 0.13710, batch accuracy: 0.00, data load time: 0.00139, step time: 0.07609
epoch: [11], step: [122/157], batch loss: 0.13727, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07598
epoch: [11], step: [132/157], batch loss: 0.13474, batch accuracy: 0.00, data load time: 0.00137, step time: 0.07590
epoch: [11], step: [142/157], batch loss: 0.13961, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07596
epoch: [11], step: [152/157], batch loss: 0.14369, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07601
validation loss: 0.01903, accuracy: 0.00
epoch: [12], step: [5/157], batch loss: 0.13648, batch accuracy: 0.00, data load time: 0.00431, step time: 0.07984
epoch: [12], step: [15/157], batch loss: 0.13866, batch accuracy: 0.00, data load time: 0.00158, step time: 0.08168
epoch: [12], step: [25/157], batch loss: 0.13974, batch accuracy: 0.00, data load time: 0.00165, step time: 0.08116
epoch: [12], step: [35/157], batch loss: 0.13963, batch accuracy: 0.00, data load time: 0.00153, step time: 0.07862
epoch: [12], step: [45/157], batch loss: 0.13727, batch accuracy: 0.00, data load time: 0.00165, step time: 0.07697
epoch: [12], step: [55/157], batch loss: 0.13597, batch accuracy: 0.00, data load time: 0.00161, step time: 0.07644
epoch: [12], step: [65/157], batch loss: 0.13352, batch accuracy: 0.00, data load time: 0.00161, step time: 0.07749
epoch: [12], step: [75/157], batch loss: 0.13816, batch accuracy: 0.00, data load time: 0.00157, step time: 0.07708
epoch: [12], step: [85/157], batch loss: 0.13629, batch accuracy: 0.00, data load time: 0.00162, step time: 0.10428
epoch: [12], step: [95/157], batch loss: 0.13660, batch accuracy: 0.00, data load time: 0.00157, step time: 0.07875
epoch: [12], step: [105/157], batch loss: 0.13397, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07605
epoch: [12], step: [115/157], batch loss: 0.13491, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07606
epoch: [12], step: [125/157], batch loss: 0.13437, batch accuracy: 0.00, data load time: 0.00140, step time: 0.07613
epoch: [12], step: [135/157], batch loss: 0.13844, batch accuracy: 0.00, data load time: 0.00142, step time: 0.07617
epoch: [12], step: [145/157], batch loss: 0.14059, batch accuracy: 0.00, data load time: 0.00148, step time: 0.07627
epoch: [12], step: [155/157], batch loss: 0.13353, batch accuracy: 0.00, data load time: 0.00149, step time: 0.07625
epoch: [13], step: [8/157], batch loss: 0.13607, batch accuracy: 0.00, data load time: 0.00159, step time: 0.08132
epoch: [13], step: [18/157], batch loss: 0.14068, batch accuracy: 0.00, data load time: 0.00156, step time: 0.07631
epoch: [13], step: [28/157], batch loss: 0.13476, batch accuracy: 0.00, data load time: 0.00156, step time: 0.07617
epoch: [13], step: [38/157], batch loss: 0.13717, batch accuracy: 0.00, data load time: 0.00156, step time: 0.07613
epoch: [13], step: [48/157], batch loss: 0.13623, batch accuracy: 0.00, data load time: 0.00169, step time: 0.07634
epoch: [13], step: [58/157], batch loss: 0.13392, batch accuracy: 0.00, data load time: 0.00157, step time: 0.07604
epoch: [13], step: [68/157], batch loss: 0.13836, batch accuracy: 0.00, data load time: 0.00159, step time: 0.07608
epoch: [13], step: [78/157], batch loss: 0.13706, batch accuracy: 0.00, data load time: 0.00160, step time: 0.07624
epoch: [13], step: [88/157], batch loss: 0.13495, batch accuracy: 0.00, data load time: 0.00157, step time: 0.07627
epoch: [13], step: [98/157], batch loss: 0.13815, batch accuracy: 0.00, data load time: 0.00172, step time: 0.07639
epoch: [13], step: [108/157], batch loss: 0.13522, batch accuracy: 0.00, data load time: 0.00139, step time: 0.07601
epoch: [13], step: [118/157], batch loss: 0.13406, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07602
epoch: [13], step: [128/157], batch loss: 0.13439, batch accuracy: 0.00, data load time: 0.00140, step time: 0.07597
epoch: [13], step: [138/157], batch loss: 0.14030, batch accuracy: 0.00, data load time: 0.00139, step time: 0.07593
epoch: [13], step: [148/157], batch loss: 0.13532, batch accuracy: 0.00, data load time: 0.00137, step time: 0.07595
validation loss: 0.01904, accuracy: 0.00
epoch: [14], step: [1/157], batch loss: 0.14073, batch accuracy: 0.00, data load time: 0.00162, step time: 0.08036
epoch: [14], step: [11/157], batch loss: 0.13356, batch accuracy: 0.00, data load time: 0.00166, step time: 0.07913
epoch: [14], step: [21/157], batch loss: 0.13677, batch accuracy: 0.00, data load time: 0.00156, step time: 0.08239
epoch: [14], step: [31/157], batch loss: 0.13316, batch accuracy: 0.00, data load time: 0.00883, step time: 0.08385
epoch: [14], step: [41/157], batch loss: 0.13425, batch accuracy: 0.00, data load time: 0.00153, step time: 0.07854
epoch: [14], step: [51/157], batch loss: 0.13963, batch accuracy: 0.00, data load time: 0.00153, step time: 0.07648
epoch: [14], step: [61/157], batch loss: 0.13584, batch accuracy: 0.00, data load time: 0.00153, step time: 0.07616
epoch: [14], step: [71/157], batch loss: 0.14185, batch accuracy: 0.00, data load time: 0.00156, step time: 0.07620
epoch: [14], step: [81/157], batch loss: 0.13779, batch accuracy: 0.00, data load time: 0.00160, step time: 0.07624
epoch: [14], step: [91/157], batch loss: 0.13903, batch accuracy: 0.00, data load time: 0.00156, step time: 0.08987
epoch: [14], step: [101/157], batch loss: 0.13295, batch accuracy: 0.00, data load time: 0.00147, step time: 0.08394
epoch: [14], step: [111/157], batch loss: 0.13955, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07605
epoch: [14], step: [121/157], batch loss: 0.13878, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07605
epoch: [14], step: [131/157], batch loss: 0.13509, batch accuracy: 0.00, data load time: 0.00139, step time: 0.07602
epoch: [14], step: [141/157], batch loss: 0.13553, batch accuracy: 0.00, data load time: 0.00146, step time: 0.07618
epoch: [14], step: [151/157], batch loss: 0.14007, batch accuracy: 0.00, data load time: 0.00138, step time: 0.07610
epoch: [15], step: [4/157], batch loss: 0.14206, batch accuracy: 0.00, data load time: 0.00165, step time: 0.07946
epoch: [15], step: [14/157], batch loss: 0.13939, batch accuracy: 0.00, data load time: 0.00162, step time: 0.07630
